; 0.0 knt; 2.0 knt; 4.0 knt; 6.0 knt; 8.0 knt;10.0 knt;12.0 knt;14.0 knt;16.0 knt;18.0 knt;20.0 knt;22.0 knt;24.0 knt
 1.0 deg;0.00085834;0.00147966;0.00210112;0.00272312;0.00334658;0.00397342;0.00460652;0.00524866;0.00590008;0.00655613;0.00720779;0.00784665;0.00847108
 3.0 deg;0.001318;0.00193931;0.00256078;0.00318277;0.00380624;0.00443308;0.00506617;0.00570831;0.00635973;0.00701579;0.00766745;0.0083063;0.00893074
 5.0 deg;0.00180795;0.00242927;0.00305073;0.00367272;0.00429619;0.00492303;0.00555613;0.00619826;0.00684969;0.00750574;0.0081574;0.00879626;0.00942069
 7.0 deg;0.00232688;0.0029482;0.00356966;0.00419165;0.00481512;0.00544196;0.00607506;0.00671719;0.00736862;0.00802467;0.00867633;0.00931519;0.00993962
 9.0 deg;0.00287291;0.00349423;0.0041157;0.00473769;0.00536115;0.00598799;0.00662109;0.00726323;0.00791465;0.0085707;0.00922236;0.00986122;0.01048565
11.0 deg;0.00344363;0.00406495;0.00468642;0.00530841;0.00593187;0.00655871;0.00719181;0.00783395;0.00848537;0.00914142;0.00979308;0.01043194;0.01105638
13.0 deg;0.0040361;0.00465742;0.00527888;0.00590088;0.00652434;0.00715118;0.00778428;0.00842642;0.00907784;0.00973389;0.01038555;0.01102441;0.01164884
15.0 deg;0.00464688;0.0052682;0.00588966;0.00651166;0.00713512;0.00776196;0.00839506;0.00903719;0.00968862;0.01034467;0.01099633;0.01163519;0.01225962
17.0 deg;0.0052721;0.00589342;0.00651488;0.00713687;0.00776034;0.00838718;0.00902028;0.00966241;0.01031384;0.01096989;0.01162155;0.0122604;0.01288484
19.0 deg;0.00590749;0.00652881;0.00715028;0.00777227;0.00839574;0.00902257;0.00965567;0.01029781;0.01094923;0.01160529;0.01225694;0.0128958;0.01352024
